Command,Param 1,Param 2,,
selectChannel,1.000000,0.000000,0.000000,0.000000
setDCVoltage,20.000000,0.000000,0.000000,0.000000
setDCCurrent,0.500000,0.000000,0.000000,0.000000
wait,10.000000,0.000000,0.000000,0.000000
setWavelengthSteps,100.000000,20.000000,46.000000,1.000000
setDCVoltage,0.000000,0.000000,0.000000,0.000000
setDCCurrent,0.000000,0.000000,0.000000,0.000000
